text,intent,action_type,verb,category_code,value,goal_name,enabled,theme,verbal_style,time_range,query,note
Bỏ thêm 1 triệu vô quỹ học tiếng anh,Action,ADD_GOAL,ADD,,1000000,học tiếng anh,,,,,,
Bỏ thêm 1 triệu vô quỹ học tiếng anh coi,Action,ADD_GOAL,ADD,,1000000,học tiếng anh,,,,,,
Bỏ thêm 1 triệu vô quỹ học tiếng anh coi id18715,Action,ADD_GOAL,ADD,,1000000,học tiếng anh,,,,,,
Bỏ thêm 1 triệu vô quỹ học tiếng anh hộ cái,Action,ADD_GOAL,ADD,,1000000,học tiếng anh,,,,,,
Bỏ thêm 1 triệu vô quỹ học tiếng anh thui,Action,ADD_GOAL,ADD,,1000000,học tiếng anh,,,,,,
Bỏ thêm 1 triệu vô quỹ mua giày sneaker coi,Action,ADD_GOAL,ADD,,1000000,mua giày sneaker,,,,,,
Bỏ thêm 1 triệu vô quỹ mua giày sneaker á,Action,ADD_GOAL,ADD,,1000000,mua giày sneaker,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới coi,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới hộ cái,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới hộ cái id18978,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới hộ cái id19078,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới nha,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới nha id18753,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới nà,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới thui,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới với,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới đi bot,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua iphone mới đi bot id18189,Action,ADD_GOAL,ADD,,1000000,mua iphone mới,,,,,,
Bỏ thêm 1 triệu vô quỹ mua laptop á,Action,ADD_GOAL,ADD,,1000000,mua laptop,,,,,,
Bỏ thêm 1 triệu vô quỹ mua laptop á id18266,Action,ADD_GOAL,ADD,,1000000,mua laptop,,,,,,
Bỏ thêm 1 triệu vô quỹ mua laptop đi bot,Action,ADD_GOAL,ADD,,1000000,mua laptop,,,,,,
Bỏ thêm 1 triệu vô quỹ mua laptop đi bot id18352,Action,ADD_GOAL,ADD,,1000000,mua laptop,,,,,,
Bỏ thêm 1 triệu vô quỹ mua laptop đi bot id18769,Action,ADD_GOAL,ADD,,1000000,mua laptop,,,,,,
Bỏ thêm 1 triệu vô quỹ quỹ dự phòng,Action,ADD_GOAL,ADD,,1000000,quỹ dự phòng,,,,,,
Bỏ thêm 1 triệu vô quỹ quỹ dự phòng thui,Action,ADD_GOAL,ADD,,1000000,quỹ dự phòng,,,,,,
Bỏ thêm 1 triệu vô quỹ quỹ dự phòng với,Action,ADD_GOAL,ADD,,1000000,quỹ dự phòng,,,,,,
Bỏ thêm 1 triệu vô quỹ quỹ dự phòng á,Action,ADD_GOAL,ADD,,1000000,quỹ dự phòng,,,,,,
Bỏ thêm 1 triệu vô quỹ quỹ dự phòng á id19099,Action,ADD_GOAL,ADD,,1000000,quỹ dự phòng,,,,,,
Bỏ thêm 1 triệu vô quỹ đi du lịch đà lạt giùm,Action,ADD_GOAL,ADD,,1000000,đi du lịch đà lạt,,,,,,
Bỏ thêm 1 triệu vô quỹ đi du lịch đà lạt hộ cái,Action,ADD_GOAL,ADD,,1000000,đi du lịch đà lạt,,,,,,
Bỏ thêm 1 triệu vô quỹ đi du lịch đà lạt hộ cái id19074,Action,ADD_GOAL,ADD,,1000000,đi du lịch đà lạt,,,,,,
Bỏ thêm 1 triệu vô quỹ đi du lịch đà lạt hộ cái id19118,Action,ADD_GOAL,ADD,,1000000,đi du lịch đà lạt,,,,,,
Bỏ thêm 1 triệu vô quỹ đổi xe máy giùm,Action,ADD_GOAL,ADD,,1000000,đổi xe máy,,,,,,
Bỏ thêm 1 triệu vô quỹ đổi xe máy nà,Action,ADD_GOAL,ADD,,1000000,đổi xe máy,,,,,,
Bỏ thêm 1 triệu vô quỹ đổi xe máy đi bot,Action,ADD_GOAL,ADD,,1000000,đổi xe máy,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh coi,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh giùm,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh thui,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh với,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh với id18497,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh á,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh đi bot,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ học tiếng anh đi bot id19027,Action,ADD_GOAL,ADD,,2000000,học tiếng anh,,,,,,
Bỏ thêm 2 củ vô quỹ mua giày sneaker,Action,ADD_GOAL,ADD,,2000000,mua giày sneaker,,,,,,
Bỏ thêm 2 củ vô quỹ mua giày sneaker hộ cái,Action,ADD_GOAL,ADD,,2000000,mua giày sneaker,,,,,,
Bỏ thêm 2 củ vô quỹ mua giày sneaker hộ cái id18533,Action,ADD_GOAL,ADD,,2000000,mua giày sneaker,,,,,,
Bỏ thêm 2 củ vô quỹ mua giày sneaker đi bot,Action,ADD_GOAL,ADD,,2000000,mua giày sneaker,,,,,,
Bỏ thêm 2 củ vô quỹ mua giày sneaker đi bot id18476,Action,ADD_GOAL,ADD,,2000000,mua giày sneaker,,,,,,
Bỏ thêm 2 củ vô quỹ mua iphone mới coi,Action,ADD_GOAL,ADD,,2000000,mua iphone mới,,,,,,
Bỏ thêm 2 củ vô quỹ mua iphone mới giùm,Action,ADD_GOAL,ADD,,2000000,mua iphone mới,,,,,,
