bảo hiểm y tế 29.2củ,Health,expense,1
gia sư 6446k,Education,expense,1
nhận tiền lẩu mini +12củ,Business,income,1
mua đồ tech 35tr,Shopping,expense,1
support fee 423k,Others,expense,1
đi spa 2tr,Entertainment,expense,1
thu hồi khoản vay 88 ngàn,Debt,expense,1
du lịch ngắn ngày 99k,Entertainment,expense,1
phí cầu đường 23.7tr,Transport,expense,1
mua cổ phiếu 3463k,Investment,expense,1
góp quỹ từ thiện 3878k,Charity,expense,1
mua rau 9.144 nghìn,Essentials,expense,1
tiền thuê nhà 16.7tr,Housing,expense,1
hom nay troi oi la troi,Business,income,0
mua hoa 1707k,Social,expense,1
đầu tư đất nền 88 ngàn,Investment,expense,1
transaction fee 22.2củ,Others,expense,1
misc payment +20 nghìn,Business,income,1
mua ETF 4518k,Business,income,1
làm nail 28củ,Beauty,expense,1
tiệc bạn bè 27.1củ,Social,expense,1
thu hồi khoản vay 12tr,Business,income,1
cho tặng bữa ăn 15 ngàn,Charity,expense,1
xem phim 6củ,Entertainment,expense,1
nhận tiền góp quỹ lớp +4841 ngàn,Business,income,1
nạp margin 28củ,Investment,expense,1
trả nợ ngân hàng 20 nghìn,Debt,expense,1
mua giày 18củ,Shopping,expense,1
phí nhỏ 979k,Business,income,1
support fee 24.9tr,Business,income,1
gia vị 20k,Essentials,expense,1
trả nợ 99 ngàn,Debt,expense,1
vay tạm +45k,Business,income,1
gift card 26.5tr,Social,expense,1
cho tặng bữa ăn 5692k,Charity,expense,1
đi pub 20k,Entertainment,expense,1
tiền mừng 16tr,Business,income,1
trả góp 1.796k,Debt,expense,1
gift card 532k,Social,expense,1
thuê xe 9564k,Transport,expense,1
hoàn tiền mượn 1.514 nghìn,Debt,expense,1
lệ phí thi 629k,Business,income,1
phí cầu đường 575k,Transport,expense,1
tiền mừng 3.7củ,Social,expense,1
mua kem chống nắng 768k,Beauty,expense,1
du lịch ngắn ngày 5.650 nghìn,Entertainment,expense,1
phí cầu đường 45 ngàn,Transport,expense,1
mua rau 12k,Essentials,expense,1
"toi ve nha day, gặp",Business,income,0
trái cây 23.1củ,Essentials,expense,1
tiết kiệm online 5củ,Savings,expense,1
trip cuối tuần 255k,Entertainment,expense,1
mua hoa 11tr,Social,expense,1
mừng cưới 20.1củ,Business,income,1
dịch vụ phát sinh 20 ngàn,Others,expense,1
nạp crypto 6.494k,Investment,expense,1
lệ phí thi 18.9củ,Business,income,1
đóng học phí 5.738k,Business,income,1
bánh mì 33 ngàn,Food,expense,1
cơm tấm 28củ,Food,expense,1
quà handmade 15củ,Social,expense,1
sushi 1943k,Food,expense,1
gift card 28củ,Business,income,1
nạp margin 4664k,Investment,expense,1
quỹ khẩn cấp 69 ngàn,Savings,expense,1
mua balo 20k,Shopping,expense,1
mua quần 9.298k,Shopping,expense,1
support fee 23tr,Others,expense,1
nhận tiền mua hoa +9.057 nghìn,Business,income,1
vay tạm 5814 ngàn,Debt,expense,1
di choi khong ne,Business,income,0
bún bò 45 ngàn,Food,expense,1
tiền điện 4515k,Housing,expense,1
